Year,Area,No of all accidental fires,Economic area,
2009-10,Isle of Anglesey ,42,Economic Action Plan area: north Wales  ,
2010-11 ,Isle of Anglesey ,42,Economic Action Plan area: north Wales  ,
2011-12 ,Isle of Anglesey ,46,Economic Action Plan area: north Wales  ,
2012-13 ,Isle of Anglesey ,18,Economic Action Plan area: north Wales  ,
2013-14 ,Isle of Anglesey ,45,Economic Action Plan area: north Wales  ,
2014-15 ,Isle of Anglesey ,41,Economic Action Plan area: north Wales  ,
2015-16 ,Isle of Anglesey ,29,Economic Action Plan area: north Wales  ,
2016-17 ,Isle of Anglesey ,13,Economic Action Plan area: north Wales  ,
2017-18 ,Isle of Anglesey ,15,Economic Action Plan area: north Wales  ,
2018-19 ,Isle of Anglesey ,74,Economic Action Plan area: north Wales  ,
2019-20,Isle of Anglesey ,23,Economic Action Plan area: north Wales  ,
2020-21,Isle of Anglesey ,23,Economic Action Plan area: north Wales  ,
2009-10,Gwynedd ,120,Economic Action Plan area: north Wales  ,
2010-11 ,Gwynedd ,155,Economic Action Plan area: north Wales  ,
2011-12 ,Gwynedd ,128,Economic Action Plan area: north Wales  ,
2012-13 ,Gwynedd ,55,Economic Action Plan area: north Wales  ,
2013-14 ,Gwynedd ,107,Economic Action Plan area: north Wales  ,
2014-15 ,Gwynedd ,71,Economic Action Plan area: north Wales  ,
2015-16 ,Gwynedd ,83,Economic Action Plan area: north Wales  ,
2016-17 ,Gwynedd ,70,Economic Action Plan area: north Wales  ,
2017-18 ,Gwynedd ,64,Economic Action Plan area: north Wales  ,
2018-19 ,Gwynedd ,160,Economic Action Plan area: north Wales  ,
2019-20,Gwynedd ,56,Economic Action Plan area: north Wales  ,
2020-21,Gwynedd ,80,Economic Action Plan area: north Wales  ,
2009-10,Conwy ,39,Economic Action Plan area: north Wales  ,
2010-11 ,Conwy ,64,Economic Action Plan area: north Wales  ,
2011-12 ,Conwy ,52,Economic Action Plan area: north Wales  ,
2012-13 ,Conwy ,18,Economic Action Plan area: north Wales  ,
2013-14 ,Conwy ,49,Economic Action Plan area: north Wales  ,
2014-15 ,Conwy ,39,Economic Action Plan area: north Wales  ,
2015-16 ,Conwy ,29,Economic Action Plan area: north Wales  ,
2016-17 ,Conwy ,22,Economic Action Plan area: north Wales  ,
2017-18 ,Conwy ,30,Economic Action Plan area: north Wales  ,
2018-19 ,Conwy ,62,Economic Action Plan area: north Wales  ,
2019-20,Conwy ,23,Economic Action Plan area: north Wales  ,
2020-21,Conwy ,31,Economic Action Plan area: north Wales  ,
2009-10,Denbighshire ,19,Economic Action Plan area: north Wales  ,
2010-11 ,Denbighshire ,27,Economic Action Plan area: north Wales  ,
2011-12 ,Denbighshire ,43,Economic Action Plan area: north Wales  ,
2012-13 ,Denbighshire ,14,Economic Action Plan area: north Wales  ,
2013-14 ,Denbighshire ,33,Economic Action Plan area: north Wales  ,
2014-15 ,Denbighshire ,23,Economic Action Plan area: north Wales  ,
2015-16 ,Denbighshire ,33,Economic Action Plan area: north Wales  ,
2016-17 ,Denbighshire ,27,Economic Action Plan area: north Wales  ,
2017-18 ,Denbighshire ,21,Economic Action Plan area: north Wales  ,
2018-19 ,Denbighshire ,52,Economic Action Plan area: north Wales  ,
2019-20,Denbighshire ,15,Economic Action Plan area: north Wales  ,
2020-21,Denbighshire ,23,Economic Action Plan area: north Wales  ,
2009-10,Flintshire ,29,Economic Action Plan area: north Wales  ,
2010-11 ,Flintshire ,30,Economic Action Plan area: north Wales  ,
2011-12 ,Flintshire ,36,Economic Action Plan area: north Wales  ,
2012-13 ,Flintshire ,13,Economic Action Plan area: north Wales  ,
2013-14 ,Flintshire ,28,Economic Action Plan area: north Wales  ,
2014-15 ,Flintshire ,32,Economic Action Plan area: north Wales  ,
2015-16 ,Flintshire ,45,Economic Action Plan area: north Wales  ,
2016-17 ,Flintshire ,23,Economic Action Plan area: north Wales  ,
2017-18 ,Flintshire ,29,Economic Action Plan area: north Wales  ,
2018-19 ,Flintshire ,71,Economic Action Plan area: north Wales  ,
2019-20,Flintshire ,32,Economic Action Plan area: north Wales  ,
2020-21,Flintshire ,27,Economic Action Plan area: north Wales  ,
2009-10,Wrexham ,21,Economic Action Plan area: north Wales  ,
2010-11 ,Wrexham ,29,Economic Action Plan area: north Wales  ,
2011-12 ,Wrexham ,49,Economic Action Plan area: north Wales  ,
2012-13 ,Wrexham ,11,Economic Action Plan area: north Wales  ,
2013-14 ,Wrexham ,15,Economic Action Plan area: north Wales  ,
2014-15 ,Wrexham ,15,Economic Action Plan area: north Wales  ,
2015-16 ,Wrexham ,24,Economic Action Plan area: north Wales  ,
2016-17 ,Wrexham ,20,Economic Action Plan area: north Wales  ,
2017-18 ,Wrexham ,27,Economic Action Plan area: north Wales  ,
2018-19 ,Wrexham ,36,Economic Action Plan area: north Wales  ,
2019-20,Wrexham ,8,Economic Action Plan area: north Wales  ,
2020-21,Wrexham ,25,Economic Action Plan area: north Wales  ,
2009-10,Powys ,87,Economic Action Plan area: mid and south west Wales  ,
2010-11 ,Powys ,112,Economic Action Plan area: mid and south west Wales  ,
2011-12 ,Powys ,100,Economic Action Plan area: mid and south west Wales  ,
2012-13 ,Powys ,27,Economic Action Plan area: mid and south west Wales  ,
2013-14 ,Powys ,77,Economic Action Plan area: mid and south west Wales  ,
2014-15 ,Powys ,59,Economic Action Plan area: mid and south west Wales  ,
2015-16 ,Powys ,64,Economic Action Plan area: mid and south west Wales  ,
2016-17 ,Powys ,33,Economic Action Plan area: mid and south west Wales  ,
2017-18 ,Powys ,46,Economic Action Plan area: mid and south west Wales  ,
2018-19 ,Powys ,71,Economic Action Plan area: mid and south west Wales  ,
2019-20,Powys ,37,Economic Action Plan area: mid and south west Wales  ,
2020-21,Powys ,65,Economic Action Plan area: mid and south west Wales  ,
2009-10,Ceredigion ,25,Economic Action Plan area: mid and south west Wales  ,
2010-11 ,Ceredigion ,45,Economic Action Plan area: mid and south west Wales  ,
2011-12 ,Ceredigion ,32,Economic Action Plan area: mid and south west Wales  ,
2012-13 ,Ceredigion ,15,Economic Action Plan area: mid and south west Wales  ,
2013-14 ,Ceredigion ,32,Economic Action Plan area: mid and south west Wales  ,
2014-15 ,Ceredigion ,41,Economic Action Plan area: mid and south west Wales  ,
2015-16 ,Ceredigion ,45,Economic Action Plan area: mid and south west Wales  ,
2016-17 ,Ceredigion ,16,Economic Action Plan area: mid and south west Wales  ,
2017-18 ,Ceredigion ,14,Economic Action Plan area: mid and south west Wales  ,
2018-19 ,Ceredigion ,47,Economic Action Plan area: mid and south west Wales  ,
2019-20,Ceredigion ,26,Economic Action Plan area: mid and south west Wales  ,
2020-21,Ceredigion ,30,Economic Action Plan area: mid and south west Wales  ,
2009-10,Pembrokeshire ,46,Economic Action Plan area: mid and south west Wales  ,
2010-11 ,Pembrokeshire ,62,Economic Action Plan area: mid and south west Wales  ,
2011-12 ,Pembrokeshire ,71,Economic Action Plan area: mid and south west Wales  ,
2012-13 ,Pembrokeshire ,25,Economic Action Plan area: mid and south west Wales  ,
2013-14 ,Pembrokeshire ,56,Economic Action Plan area: mid and south west Wales  ,
2014-15 ,Pembrokeshire ,52,Economic Action Plan area: mid and south west Wales  ,
2015-16 ,Pembrokeshire ,23,Economic Action Plan area: mid and south west Wales  ,
2016-17 ,Pembrokeshire ,17,Economic Action Plan area: mid and south west Wales  ,
2017-18 ,Pembrokeshire ,24,Economic Action Plan area: mid and south west Wales  ,
2018-19 ,Pembrokeshire ,45,Economic Action Plan area: mid and south west Wales  ,
2019-20,Pembrokeshire ,25,Economic Action Plan area: mid and south west Wales  ,
2020-21,Pembrokeshire ,40,Economic Action Plan area: mid and south west Wales  ,
2009-10,Carmarthenshire ,95,Economic Action Plan area: mid and south west Wales  ,
2010-11 ,Carmarthenshire ,91,Economic Action Plan area: mid and south west Wales  ,
2011-12 ,Carmarthenshire ,90,Economic Action Plan area: mid and south west Wales  ,
2012-13 ,Carmarthenshire ,39,Economic Action Plan area: mid and south west Wales  ,
2013-14 ,Carmarthenshire ,78,Economic Action Plan area: mid and south west Wales  ,
2014-15 ,Carmarthenshire ,63,Economic Action Plan area: mid and south west Wales  ,
2015-16 ,Carmarthenshire ,71,Economic Action Plan area: mid and south west Wales  ,
2016-17 ,Carmarthenshire ,28,Economic Action Plan area: mid and south west Wales  ,
2017-18 ,Carmarthenshire ,34,Economic Action Plan area: mid and south west Wales  ,
2018-19 ,Carmarthenshire ,136,Economic Action Plan area: mid and south west Wales  ,
2019-20,Carmarthenshire ,46,Economic Action Plan area: mid and south west Wales  ,
2020-21,Carmarthenshire ,55,Economic Action Plan area: mid and south west Wales  ,
2009-10,Swansea ,50,Economic Action Plan area: mid and south west Wales  ,Economic Action Plan area: mid and south west Wales  
2010-11 ,Swansea ,75,Economic Action Plan area: mid and south west Wales  ,
2011-12 ,Swansea ,53,Economic Action Plan area: mid and south west Wales  ,
2012-13 ,Swansea ,20,Economic Action Plan area: mid and south west Wales  ,
2013-14 ,Swansea ,72,Economic Action Plan area: mid and south west Wales  ,
2014-15 ,Swansea ,64,Economic Action Plan area: mid and south west Wales  ,
2015-16 ,Swansea ,29,Economic Action Plan area: mid and south west Wales  ,
2016-17 ,Swansea ,15,Economic Action Plan area: mid and south west Wales  ,
2017-18 ,Swansea ,31,Economic Action Plan area: mid and south west Wales  ,
2018-19 ,Swansea ,122,Economic Action Plan area: mid and south west Wales  ,
2019-20,Swansea ,65,Economic Action Plan area: mid and south west Wales  ,
2020-21,Swansea ,46,Economic Action Plan area: mid and south west Wales  ,
2009-10,Neath Port Talbot ,69,Economic Action Plan area: mid and south west Wales  ,
2010-11 ,Neath Port Talbot ,72,Economic Action Plan area: mid and south west Wales  ,
2011-12 ,Neath Port Talbot ,53,Economic Action Plan area: mid and south west Wales  ,
2012-13 ,Neath Port Talbot ,41,Economic Action Plan area: mid and south west Wales  ,
2013-14 ,Neath Port Talbot ,137,Economic Action Plan area: mid and south west Wales  ,
2014-15 ,Neath Port Talbot ,62,Economic Action Plan area: mid and south west Wales  ,
2015-16 ,Neath Port Talbot ,53,Economic Action Plan area: mid and south west Wales  ,
2016-17 ,Neath Port Talbot ,40,Economic Action Plan area: mid and south west Wales  ,
2017-18 ,Neath Port Talbot ,46,Economic Action Plan area: mid and south west Wales  ,
2018-19 ,Neath Port Talbot ,74,Economic Action Plan area: mid and south west Wales  ,
2019-20,Neath Port Talbot ,45,Economic Action Plan area: mid and south west Wales  ,
2020-21,Neath Port Talbot ,43,Economic Action Plan area: mid and south west Wales  ,
2009-10,Bridgend ,35,Economic Action Plan area: south east Wales  ,
2010-11 ,Bridgend ,61,Economic Action Plan area: south east Wales  ,
2011-12 ,Bridgend ,20,Economic Action Plan area: south east Wales  ,
2012-13 ,Bridgend ,13,Economic Action Plan area: south east Wales  ,
2013-14 ,Bridgend ,27,Economic Action Plan area: south east Wales  ,
2014-15 ,Bridgend ,10,Economic Action Plan area: south east Wales  ,
2015-16 ,Bridgend ,5,Economic Action Plan area: south east Wales  ,
2016-17 ,Bridgend ,5,Economic Action Plan area: south east Wales  ,
2017-18 ,Bridgend ,7,Economic Action Plan area: south east Wales  ,
2018-19 ,Bridgend ,26,Economic Action Plan area: south east Wales  ,
2019-20,Bridgend ,7,Economic Action Plan area: south east Wales  ,
2020-21,Bridgend ,11,Economic Action Plan area: south east Wales  ,
2009-10,Vale of Glamorgan ,11,Economic Action Plan area: south east Wales  ,
2010-11 ,Vale of Glamorgan ,8,Economic Action Plan area: south east Wales  ,
2011-12 ,Vale of Glamorgan ,12,Economic Action Plan area: south east Wales  ,
2012-13 ,Vale of Glamorgan ,6,Economic Action Plan area: south east Wales  ,
2013-14 ,Vale of Glamorgan ,18,Economic Action Plan area: south east Wales  ,
2014-15 ,Vale of Glamorgan ,5,Economic Action Plan area: south east Wales  ,
2015-16 ,Vale of Glamorgan ,4,Economic Action Plan area: south east Wales  ,
2016-17 ,Vale of Glamorgan ,8,Economic Action Plan area: south east Wales  ,
2017-18 ,Vale of Glamorgan ,5,Economic Action Plan area: south east Wales  ,
2018-19 ,Vale of Glamorgan ,16,Economic Action Plan area: south east Wales  ,
2019-20,Vale of Glamorgan ,9,Economic Action Plan area: south east Wales  ,
2020-21,Vale of Glamorgan ,3,Economic Action Plan area: south east Wales  ,
2009-10,Cardiff ,25,Economic Action Plan area: south east Wales  ,
2010-11 ,Cardiff ,35,Economic Action Plan area: south east Wales  ,
2011-12 ,Cardiff ,23,Economic Action Plan area: south east Wales  ,
2012-13 ,Cardiff ,10,Economic Action Plan area: south east Wales  ,
2013-14 ,Cardiff ,23,Economic Action Plan area: south east Wales  ,
2014-15 ,Cardiff ,17,Economic Action Plan area: south east Wales  ,
2015-16 ,Cardiff ,11,Economic Action Plan area: south east Wales  ,
2016-17 ,Cardiff ,13,Economic Action Plan area: south east Wales  ,
2017-18 ,Cardiff ,11,Economic Action Plan area: south east Wales  ,
2018-19 ,Cardiff ,20,Economic Action Plan area: south east Wales  ,
2019-20,Cardiff ,11,Economic Action Plan area: south east Wales  ,
2020-21,Cardiff ,15,Economic Action Plan area: south east Wales  ,
2009-10,Rhondda Cynon Taf ,38,Economic Action Plan area: south east Wales  ,
2010-11 ,Rhondda Cynon Taf ,33,Economic Action Plan area: south east Wales  ,
2011-12 ,Rhondda Cynon Taf ,12,Economic Action Plan area: south east Wales  ,
2012-13 ,Rhondda Cynon Taf ,11,Economic Action Plan area: south east Wales  ,
2013-14 ,Rhondda Cynon Taf ,30,Economic Action Plan area: south east Wales  ,
2014-15 ,Rhondda Cynon Taf ,13,Economic Action Plan area: south east Wales  ,
2015-16 ,Rhondda Cynon Taf ,11,Economic Action Plan area: south east Wales  ,
2016-17 ,Rhondda Cynon Taf ,8,Economic Action Plan area: south east Wales  ,
2017-18 ,Rhondda Cynon Taf ,12,Economic Action Plan area: south east Wales  ,
2018-19 ,Rhondda Cynon Taf ,38,Economic Action Plan area: south east Wales  ,
2019-20,Rhondda Cynon Taf ,18,Economic Action Plan area: south east Wales  ,
2020-21,Rhondda Cynon Taf ,14,Economic Action Plan area: south east Wales  ,
2009-10,Merthyr Tydfil ,5,Economic Action Plan area: south east Wales  ,
2010-11 ,Merthyr Tydfil ,3,Economic Action Plan area: south east Wales  ,
2011-12 ,Merthyr Tydfil ,5,Economic Action Plan area: south east Wales  ,
2012-13 ,Merthyr Tydfil ,5,Economic Action Plan area: south east Wales  ,
2013-14 ,Merthyr Tydfil ,0,Economic Action Plan area: south east Wales  ,
2014-15 ,Merthyr Tydfil ,2,Economic Action Plan area: south east Wales  ,
2015-16 ,Merthyr Tydfil ,2,Economic Action Plan area: south east Wales  ,
2016-17 ,Merthyr Tydfil ,1,Economic Action Plan area: south east Wales  ,
2017-18 ,Merthyr Tydfil ,1,Economic Action Plan area: south east Wales  ,
2018-19 ,Merthyr Tydfil ,5,Economic Action Plan area: south east Wales  ,
2019-20,Merthyr Tydfil ,1,Economic Action Plan area: south east Wales  ,
2020-21,Merthyr Tydfil ,3,Economic Action Plan area: south east Wales  ,
2009-10,Caerphilly ,26,Economic Action Plan area: south east Wales  ,
2010-11 ,Caerphilly ,19,Economic Action Plan area: south east Wales  ,
2011-12 ,Caerphilly ,11,Economic Action Plan area: south east Wales  ,
2012-13 ,Caerphilly ,10,Economic Action Plan area: south east Wales  ,
2013-14 ,Caerphilly ,16,Economic Action Plan area: south east Wales  ,
2014-15 ,Caerphilly ,12,Economic Action Plan area: south east Wales  ,
2015-16 ,Caerphilly ,11,Economic Action Plan area: south east Wales  ,
2016-17 ,Caerphilly ,11,Economic Action Plan area: south east Wales  ,
