Year,Area,No of all accidental fires,Economic area
2009-10,Total North,1847,Economic Action Plan area: north Wales  
2010-11 ,Total North,1861,Economic Action Plan area: north Wales  
2011-12 ,Total North,1811,Economic Action Plan area: north Wales  
2012-13 ,Total North,1514,Economic Action Plan area: north Wales  
2013-14 ,Total North,1624,Economic Action Plan area: north Wales  
2014-15 ,Total North,1519,Economic Action Plan area: north Wales  
2015-16 ,Total North,1432,Economic Action Plan area: north Wales  
2016-17 ,Total North,1416,Economic Action Plan area: north Wales  
2017-18 ,Total North,1379,Economic Action Plan area: north Wales  
2018-19 ,Total North,1625,Economic Action Plan area: north Wales  
2019-20,Total North,1297,Economic Action Plan area: north Wales  
2020-21,Total North,1324,Economic Action Plan area: north Wales  
2009-10,Total south west,2240,Economic Action Plan area: mid and south west Wales  
2010-11 ,Total south west,2338,Economic Action Plan area: mid and south west Wales  
2011-12 ,Total south west,2093,Economic Action Plan area: mid and south west Wales  
2012-13 ,Total south west,1751,Economic Action Plan area: mid and south west Wales  
2013-14 ,Total south west,2115,Economic Action Plan area: mid and south west Wales  
2014-15 ,Total south west,1939,Economic Action Plan area: mid and south west Wales  
2015-16 ,Total south west,1780,Economic Action Plan area: mid and south west Wales  
2016-17 ,Total south west,1647,Economic Action Plan area: mid and south west Wales  
2017-18 ,Total south west,1679,Economic Action Plan area: mid and south west Wales  
2018-19 ,Total south west,1965,Economic Action Plan area: mid and south west Wales  
2019-20,Total south west,1558,Economic Action Plan area: mid and south west Wales  
2020-21,Total south west,1479,Economic Action Plan area: mid and south west Wales  
2009-10,Total sout east,2150,Economic Action Plan area: south east Wales  
2010-11 ,Total sout east,2192,Economic Action Plan area: south east Wales  
2011-12 ,Total sout east,1914,Economic Action Plan area: south east Wales  
2012-13 ,Total sout east,1774,Economic Action Plan area: south east Wales  
2013-14 ,Total sout east,1861,Economic Action Plan area: south east Wales  
2014-15 ,Total sout east,1757,Economic Action Plan area: south east Wales  
2015-16 ,Total sout east,1765,Economic Action Plan area: south east Wales  
2016-17 ,Total sout east,1745,Economic Action Plan area: south east Wales  
2017-18 ,Total sout east,1591,Economic Action Plan area: south east Wales  
2018-19 ,Total sout east,1798,Economic Action Plan area: south east Wales  
2019-20,Total sout east,1678,Economic Action Plan area: south east Wales  
2020-21,Total sout east,1636,Economic Action Plan area: south east Wales  
2009-10,Total all areas,6239,Economic Action Plan area: north Wales  
2010-11 ,Total all areas,6391,Economic Action Plan area: north Wales  
2011-12 ,Total all areas,5819,Economic Action Plan area: north Wales  
2012-13 ,Total all areas,5039,Economic Action Plan area: north Wales  
2013-14 ,Total all areas,5600,Economic Action Plan area: north Wales  
2014-15 ,Total all areas,5217,Economic Action Plan area: north Wales  
2015-16 ,Total all areas,4977,Economic Action Plan area: north Wales  
2016-17 ,Total all areas,4808,Economic Action Plan area: north Wales  
2017-18 ,Total all areas,4649,Economic Action Plan area: north Wales  
2018-19 ,Total all areas,5388,Economic Action Plan area: north Wales  
2019-20,Total all areas,4533,Economic Action Plan area: north Wales  
2020-21,Total all areas,4439,Economic Action Plan area: north Wales  
