Year,Area,No of all accidental fires,Economic area
2009-10,Isle of Anglesey ,222,Economic Action Plan area: north Wales  
2010-11 ,Isle of Anglesey ,226,Economic Action Plan area: north Wales  
2011-12 ,Isle of Anglesey ,211,Economic Action Plan area: north Wales  
2012-13 ,Isle of Anglesey ,173,Economic Action Plan area: north Wales  
2013-14 ,Isle of Anglesey ,213,Economic Action Plan area: north Wales  
2014-15 ,Isle of Anglesey ,181,Economic Action Plan area: north Wales  
2015-16 ,Isle of Anglesey ,159,Economic Action Plan area: north Wales  
2016-17 ,Isle of Anglesey ,124,Economic Action Plan area: north Wales  
2017-18 ,Isle of Anglesey ,135,Economic Action Plan area: north Wales  
2018-19 ,Isle of Anglesey ,191,Economic Action Plan area: north Wales  
2019-20,Isle of Anglesey ,144,Economic Action Plan area: north Wales  
2020-21,Isle of Anglesey ,137,Economic Action Plan area: north Wales  
2009-10,Gwynedd ,504,Economic Action Plan area: north Wales  
2010-11 ,Gwynedd ,515,Economic Action Plan area: north Wales  
2011-12 ,Gwynedd ,464,Economic Action Plan area: north Wales  
2012-13 ,Gwynedd ,362,Economic Action Plan area: north Wales  
2013-14 ,Gwynedd ,371,Economic Action Plan area: north Wales  
2014-15 ,Gwynedd ,377,Economic Action Plan area: north Wales  
2015-16 ,Gwynedd ,348,Economic Action Plan area: north Wales  
2016-17 ,Gwynedd ,330,Economic Action Plan area: north Wales  
2017-18 ,Gwynedd ,310,Economic Action Plan area: north Wales  
2018-19 ,Gwynedd ,396,Economic Action Plan area: north Wales  
2019-20,Gwynedd ,301,Economic Action Plan area: north Wales  
2020-21,Gwynedd ,303,Economic Action Plan area: north Wales  
2009-10,Conwy ,283,Economic Action Plan area: north Wales  
2010-11 ,Conwy ,323,Economic Action Plan area: north Wales  
2011-12 ,Conwy ,276,Economic Action Plan area: north Wales  
2012-13 ,Conwy ,230,Economic Action Plan area: north Wales  
2013-14 ,Conwy ,273,Economic Action Plan area: north Wales  
2014-15 ,Conwy ,248,Economic Action Plan area: north Wales  
2015-16 ,Conwy ,256,Economic Action Plan area: north Wales  
2016-17 ,Conwy ,229,Economic Action Plan area: north Wales  
2017-18 ,Conwy ,227,Economic Action Plan area: north Wales  
2018-19 ,Conwy ,271,Economic Action Plan area: north Wales  
2019-20,Conwy ,224,Economic Action Plan area: north Wales  
2020-21,Conwy ,237,Economic Action Plan area: north Wales  
2009-10,Denbighshire ,259,Economic Action Plan area: north Wales  
2010-11 ,Denbighshire ,233,Economic Action Plan area: north Wales  
2011-12 ,Denbighshire ,243,Economic Action Plan area: north Wales  
2012-13 ,Denbighshire ,228,Economic Action Plan area: north Wales  
2013-14 ,Denbighshire ,241,Economic Action Plan area: north Wales  
2014-15 ,Denbighshire ,203,Economic Action Plan area: north Wales  
2015-16 ,Denbighshire ,196,Economic Action Plan area: north Wales  
2016-17 ,Denbighshire ,205,Economic Action Plan area: north Wales  
2017-18 ,Denbighshire ,202,Economic Action Plan area: north Wales  
2018-19 ,Denbighshire ,203,Economic Action Plan area: north Wales  
2019-20,Denbighshire ,182,Economic Action Plan area: north Wales  
2020-21,Denbighshire ,194,Economic Action Plan area: north Wales  
2009-10,Flintshire ,340,Economic Action Plan area: north Wales  
2010-11 ,Flintshire ,276,Economic Action Plan area: north Wales  
2011-12 ,Flintshire ,298,Economic Action Plan area: north Wales  
2012-13 ,Flintshire ,270,Economic Action Plan area: north Wales  
2013-14 ,Flintshire ,277,Economic Action Plan area: north Wales  
2014-15 ,Flintshire ,265,Economic Action Plan area: north Wales  
2015-16 ,Flintshire ,254,Economic Action Plan area: north Wales  
2016-17 ,Flintshire ,278,Economic Action Plan area: north Wales  
2017-18 ,Flintshire ,247,Economic Action Plan area: north Wales  
2018-19 ,Flintshire ,305,Economic Action Plan area: north Wales  
2019-20,Flintshire ,239,Economic Action Plan area: north Wales  
2020-21,Flintshire ,243,Economic Action Plan area: north Wales  
2009-10,Wrexham ,239,Economic Action Plan area: north Wales  
2010-11 ,Wrexham ,288,Economic Action Plan area: north Wales  
2011-12 ,Wrexham ,319,Economic Action Plan area: north Wales  
2012-13 ,Wrexham ,251,Economic Action Plan area: north Wales  
2013-14 ,Wrexham ,249,Economic Action Plan area: north Wales  
2014-15 ,Wrexham ,245,Economic Action Plan area: north Wales  
2015-16 ,Wrexham ,219,Economic Action Plan area: north Wales  
2016-17 ,Wrexham ,250,Economic Action Plan area: north Wales  
2017-18 ,Wrexham ,258,Economic Action Plan area: north Wales  
2018-19 ,Wrexham ,259,Economic Action Plan area: north Wales  
2019-20,Wrexham ,207,Economic Action Plan area: north Wales  
2020-21,Wrexham ,210,Economic Action Plan area: north Wales  
2009-10,Powys ,418,Economic Action Plan area: mid and south west Wales  
2010-11 ,Powys ,501,Economic Action Plan area: mid and south west Wales  
2011-12 ,Powys ,411,Economic Action Plan area: mid and south west Wales  
2012-13 ,Powys ,344,Economic Action Plan area: mid and south west Wales  
2013-14 ,Powys ,428,Economic Action Plan area: mid and south west Wales  
2014-15 ,Powys ,351,Economic Action Plan area: mid and south west Wales  
2015-16 ,Powys ,335,Economic Action Plan area: mid and south west Wales  
2016-17 ,Powys ,307,Economic Action Plan area: mid and south west Wales  
2017-18 ,Powys ,355,Economic Action Plan area: mid and south west Wales  
2018-19 ,Powys ,322,Economic Action Plan area: mid and south west Wales  
2019-20,Powys ,267,Economic Action Plan area: mid and south west Wales  
2020-21,Powys ,265,Economic Action Plan area: mid and south west Wales  
2009-10,Ceredigion ,236,Economic Action Plan area: mid and south west Wales  
2010-11 ,Ceredigion ,252,Economic Action Plan area: mid and south west Wales  
2011-12 ,Ceredigion ,214,Economic Action Plan area: mid and south west Wales  
2012-13 ,Ceredigion ,182,Economic Action Plan area: mid and south west Wales  
2013-14 ,Ceredigion ,192,Economic Action Plan area: mid and south west Wales  
2014-15 ,Ceredigion ,219,Economic Action Plan area: mid and south west Wales  
2015-16 ,Ceredigion ,183,Economic Action Plan area: mid and south west Wales  
2016-17 ,Ceredigion ,173,Economic Action Plan area: mid and south west Wales  
2017-18 ,Ceredigion ,159,Economic Action Plan area: mid and south west Wales  
2018-19 ,Ceredigion ,193,Economic Action Plan area: mid and south west Wales  
2019-20,Ceredigion ,160,Economic Action Plan area: mid and south west Wales  
2020-21,Ceredigion ,145,Economic Action Plan area: mid and south west Wales  
2009-10,Pembrokeshire ,328,Economic Action Plan area: mid and south west Wales  
2010-11 ,Pembrokeshire ,351,Economic Action Plan area: mid and south west Wales  
2011-12 ,Pembrokeshire ,344,Economic Action Plan area: mid and south west Wales  
2012-13 ,Pembrokeshire ,289,Economic Action Plan area: mid and south west Wales  
2013-14 ,Pembrokeshire ,322,Economic Action Plan area: mid and south west Wales  
2014-15 ,Pembrokeshire ,268,Economic Action Plan area: mid and south west Wales  
2015-16 ,Pembrokeshire ,277,Economic Action Plan area: mid and south west Wales  
2016-17 ,Pembrokeshire ,245,Economic Action Plan area: mid and south west Wales  
