Year,Area,No of all accidental fires,Economic area,
2009-10,Isle of Anglesey ,135,Economic Action Plan area: north Wales  ,
2010-11 ,Isle of Anglesey ,130,Economic Action Plan area: north Wales  ,
2011-12 ,Isle of Anglesey ,86,Economic Action Plan area: north Wales  ,
2012-13 ,Isle of Anglesey ,33,Economic Action Plan area: north Wales  ,
2013-14 ,Isle of Anglesey ,70,Economic Action Plan area: north Wales  ,
2014-15 ,Isle of Anglesey ,58,Economic Action Plan area: north Wales  ,
2015-16 ,Isle of Anglesey ,52,Economic Action Plan area: north Wales  ,
2016-17 ,Isle of Anglesey ,44,Economic Action Plan area: north Wales  ,
2017-18 ,Isle of Anglesey ,49,Economic Action Plan area: north Wales  ,
2018-19 ,Isle of Anglesey ,55,Economic Action Plan area: north Wales  ,
2019-20,Isle of Anglesey ,44,Economic Action Plan area: north Wales  ,
2020-21,Isle of Anglesey ,37,Economic Action Plan area: north Wales  ,
2009-10,Gwynedd ,318,Economic Action Plan area: north Wales  ,
2010-11 ,Gwynedd ,319,Economic Action Plan area: north Wales  ,
2011-12 ,Gwynedd ,241,Economic Action Plan area: north Wales  ,
2012-13 ,Gwynedd ,112,Economic Action Plan area: north Wales  ,
2013-14 ,Gwynedd ,117,Economic Action Plan area: north Wales  ,
2014-15 ,Gwynedd ,103,Economic Action Plan area: north Wales  ,
2015-16 ,Gwynedd ,92,Economic Action Plan area: north Wales  ,
2016-17 ,Gwynedd ,83,Economic Action Plan area: north Wales  ,
2017-18 ,Gwynedd ,122,Economic Action Plan area: north Wales  ,
2018-19 ,Gwynedd ,116,Economic Action Plan area: north Wales  ,
2019-20,Gwynedd ,101,Economic Action Plan area: north Wales  ,
2020-21,Gwynedd ,61,Economic Action Plan area: north Wales  ,
2009-10,Conwy ,276,Economic Action Plan area: north Wales  ,
2010-11 ,Conwy ,214,Economic Action Plan area: north Wales  ,
2011-12 ,Conwy ,173,Economic Action Plan area: north Wales  ,
2012-13 ,Conwy ,96,Economic Action Plan area: north Wales  ,
2013-14 ,Conwy ,109,Economic Action Plan area: north Wales  ,
2014-15 ,Conwy ,66,Economic Action Plan area: north Wales  ,
2015-16 ,Conwy ,64,Economic Action Plan area: north Wales  ,
2016-17 ,Conwy ,54,Economic Action Plan area: north Wales  ,
2017-18 ,Conwy ,66,Economic Action Plan area: north Wales  ,
2018-19 ,Conwy ,66,Economic Action Plan area: north Wales  ,
2019-20,Conwy ,96,Economic Action Plan area: north Wales  ,
2020-21,Conwy ,48,Economic Action Plan area: north Wales  ,
2009-10,Denbighshire ,156,Economic Action Plan area: north Wales  ,
2010-11 ,Denbighshire ,133,Economic Action Plan area: north Wales  ,
2011-12 ,Denbighshire ,141,Economic Action Plan area: north Wales  ,
2012-13 ,Denbighshire ,77,Economic Action Plan area: north Wales  ,
2013-14 ,Denbighshire ,74,Economic Action Plan area: north Wales  ,
2014-15 ,Denbighshire ,72,Economic Action Plan area: north Wales  ,
2015-16 ,Denbighshire ,60,Economic Action Plan area: north Wales  ,
2016-17 ,Denbighshire ,53,Economic Action Plan area: north Wales  ,
2017-18 ,Denbighshire ,53,Economic Action Plan area: north Wales  ,
