Year,Area,No of all accidental fires,Economic area
2009-10,Total North,1538,Economic Action Plan area: north Wales  
2010-11 ,Total North,1440,Economic Action Plan area: north Wales  
2011-12 ,Total North,1376,Economic Action Plan area: north Wales  
2012-13 ,Total North,835,Economic Action Plan area: north Wales  
2013-14 ,Total North,792,Economic Action Plan area: north Wales  
2014-15 ,Total North,724,Economic Action Plan area: north Wales  
2015-16 ,Total North,703,Economic Action Plan area: north Wales  
2016-17 ,Total North,593,Economic Action Plan area: north Wales  
2017-18 ,Total North,650,Economic Action Plan area: north Wales  
2018-19 ,Total North,655,Economic Action Plan area: north Wales  
2019-20,Total North,653,Economic Action Plan area: north Wales  
2020-21,Total North,446,Economic Action Plan area: north Wales  
2009-10,Total south west,2824,Economic Action Plan area: mid and south west Wales  
2010-11 ,Total south west,3279,Economic Action Plan area: mid and south west Wales  
2011-12 ,Total south west,2424,Economic Action Plan area: mid and south west Wales  
2012-13 ,Total south west,1494,Economic Action Plan area: mid and south west Wales  
2013-14 ,Total south west,1797,Economic Action Plan area: mid and south west Wales  
2014-15 ,Total south west,1551,Economic Action Plan area: mid and south west Wales  
2015-16 ,Total south west,1608,Economic Action Plan area: mid and south west Wales  
2016-17 ,Total south west,1285,Economic Action Plan area: mid and south west Wales  
2017-18 ,Total south west,1518,Economic Action Plan area: mid and south west Wales  
2018-19 ,Total south west,1765,Economic Action Plan area: mid and south west Wales  
2019-20,Total south west,1593,Economic Action Plan area: mid and south west Wales  
2020-21,Total south west,1594,Economic Action Plan area: mid and south west Wales  
2009-10,Total sout east,8550,Economic Action Plan area: south east Wales  
2010-11 ,Total sout east,9578,Economic Action Plan area: south east Wales  
2011-12 ,Total sout east,6848,Economic Action Plan area: south east Wales  
2012-13 ,Total sout east,4070,Economic Action Plan area: south east Wales  
2013-14 ,Total sout east,4980,Economic Action Plan area: south east Wales  
2014-15 ,Total sout east,4158,Economic Action Plan area: south east Wales  
2015-16 ,Total sout east,4815,Economic Action Plan area: south east Wales  
2016-17 ,Total sout east,4056,Economic Action Plan area: south east Wales  
2017-18 ,Total sout east,4206,Economic Action Plan area: south east Wales  
2018-19 ,Total sout east,5103,Economic Action Plan area: south east Wales  
2019-20,Total sout east,3808,Economic Action Plan area: south east Wales  
2020-21,Total sout east,3849,Economic Action Plan area: south east Wales  
2009-10,Total all areas,12913,Economic Action Plan area: north Wales  
2010-11 ,Total all areas,14297,Economic Action Plan area: north Wales  
2011-12 ,Total all areas,10648,Economic Action Plan area: north Wales  
2012-13 ,Total all areas,6399,Economic Action Plan area: north Wales  
2013-14 ,Total all areas,7569,Economic Action Plan area: north Wales  
2014-15 ,Total all areas,6433,Economic Action Plan area: north Wales  
2015-16 ,Total all areas,7126,Economic Action Plan area: north Wales  
2016-17 ,Total all areas,5934,Economic Action Plan area: north Wales  
2017-18 ,Total all areas,6374,Economic Action Plan area: north Wales  
2018-19 ,Total all areas,7523,Economic Action Plan area: north Wales  
2019-20,Total all areas,6054,Economic Action Plan area: north Wales  
2020-21,Total all areas,5889,Economic Action Plan area: north Wales  
