Year,Area,No of all accidental fires,Economic area
2009-10,Isle of Anglesey ,49,Economic Action Plan area: north Wales  
2010-11 ,Isle of Anglesey ,54,Economic Action Plan area: north Wales  
2011-12 ,Isle of Anglesey ,37,Economic Action Plan area: north Wales  
2012-13 ,Isle of Anglesey ,7,Economic Action Plan area: north Wales  
2013-14 ,Isle of Anglesey ,34,Economic Action Plan area: north Wales  
2014-15 ,Isle of Anglesey ,25,Economic Action Plan area: north Wales  
2015-16 ,Isle of Anglesey ,17,Economic Action Plan area: north Wales  
2016-17 ,Isle of Anglesey ,7,Economic Action Plan area: north Wales  
2017-18 ,Isle of Anglesey ,12,Economic Action Plan area: north Wales  
2018-19 ,Isle of Anglesey ,26,Economic Action Plan area: north Wales  
2019-20,Isle of Anglesey ,13,Economic Action Plan area: north Wales  
2020-21,Isle of Anglesey ,17,Economic Action Plan area: north Wales  
2009-10,Gwynedd ,120,Economic Action Plan area: north Wales  
2010-11 ,Gwynedd ,169,Economic Action Plan area: north Wales  
2011-12 ,Gwynedd ,93,Economic Action Plan area: north Wales  
2012-13 ,Gwynedd ,42,Economic Action Plan area: north Wales  
2013-14 ,Gwynedd ,45,Economic Action Plan area: north Wales  
2014-15 ,Gwynedd ,46,Economic Action Plan area: north Wales  
2015-16 ,Gwynedd ,45,Economic Action Plan area: north Wales  
2016-17 ,Gwynedd ,27,Economic Action Plan area: north Wales  
2017-18 ,Gwynedd ,54,Economic Action Plan area: north Wales  
2018-19 ,Gwynedd ,61,Economic Action Plan area: north Wales  
2019-20,Gwynedd ,41,Economic Action Plan area: north Wales  
2020-21,Gwynedd ,19,Economic Action Plan area: north Wales  
2009-10,Conwy ,78,Economic Action Plan area: north Wales  
2010-11 ,Conwy ,58,Economic Action Plan area: north Wales  
2011-12 ,Conwy ,69,Economic Action Plan area: north Wales  
2012-13 ,Conwy ,23,Economic Action Plan area: north Wales  
2013-14 ,Conwy ,36,Economic Action Plan area: north Wales  
2014-15 ,Conwy ,16,Economic Action Plan area: north Wales  
2015-16 ,Conwy ,24,Economic Action Plan area: north Wales  
