"Community safety and social inclusion > Community safety > Fire incidents > Fires and false alarms > Fires by Local Authority and motive"
"Fires by Local Authority and motive"

Filters:
Grassland marker: Grassland, woodland and crop fires
Motive: Deliberate
Type of fires: All Fires

"","","","2009-10 (2)","2010-11 ","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (3)","2020-21 (4)"
"Wales ","","",4663,6074,4019,1770,2998,1968,2603,1318,1636,2862,1685,1646
"Wales ","Economic Action Plan area: north Wales (1)","",406,484,483,153,203,190,203,123,167,199,126,102
"","Economic Action Plan area: north Wales (1)","Isle of Anglesey ",49,54,37,7,34,25,17,7,12,26,13,17
"","","Gwynedd ",120,169,93,42,45,46,45,27,54,61,41,19
"","","Conwy ",78,58,69,23,36,16,24,9,14,17,18,12
"","","Denbighshire ",33,32,36,12,17,8,10,13,9,16,7,8
"","","Flintshire ",76,102,94,25,38,37,51,36,40,33,22,18
"","","Wrexham ",50,69,154,44,33,58,56,31,38,46,25,28
"","Economic Action Plan area: mid and south west Wales (1)","",1083,1469,1040,557,771,511,647,334,455,768,563,589
"","Economic Action Plan area: mid and south west Wales (1)","Powys ",69,119,93,40,51,37,91,30,47,61,49,61
"","","Ceredigion ",4,5,6,4,8,3,5,1,1,10,5,8
"","","Pembrokeshire ",37,34,67,31,23,24,24,6,15,27,22,28
"","","Carmarthenshire ",81,93,66,55,64,44,37,25,40,73,54,71
"","","Swansea ",589,727,497,291,450,264,300,189,232,395,263,253
"","","Neath Port Talbot ",303,491,311,136,175,139,190,83,120,202,170,168
"","Economic Action Plan area: south east Wales (1)","",3174,4121,2496,1060,2024,1267,1753,861,1014,1895,996,955
"","Economic Action Plan area: south east Wales (1)","Bridgend ",267,388,244,172,208,102,190,82,112,135,136,107
"","","Vale of Glamorgan ",114,98,56,14,47,26,47,46,36,51,27,35
"","","Cardiff ",340,306,177,77,160,145,132,77,126,207,101,111
"","","Rhondda Cynon Taf ",905,1235,729,307,582,355,537,211,270,498,269,283
"","","Merthyr Tydfil ",259,368,229,96,188,92,127,70,69,152,64,74
"","","Caerphilly ",458,723,420,167,317,191,305,137,176,375,185,158
"","","Blaenau Gwent ",312,464,262,86,221,155,175,96,90,220,51,54
"","","Torfaen ",169,196,156,44,118,66,84,45,37,77,46,58
"","","Monmouthshire ",59,69,26,15,28,10,21,16,17,39,22,22
"","","Newport ",291,274,197,82,155,125,135,81,81,141,95,53


