"Community safety and social inclusion > Community safety > Fire incidents > Fires and false alarms > Fires by Local Authority and motive"
"Fires by Local Authority and motive"

Filters:
Grassland marker: Not grassland, woodland or crop fires
Motive: Deliberate
Type of fires: All Fires

"","","","2009-10 (2)","2010-11 ","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (3)","2020-21 (4)"
"Wales ","","",8250,8223,6629,4629,4571,4465,4523,4616,4738,4661,4369,4243
"Wales ","Economic Action Plan area: north Wales (1)","",1132,956,893,682,589,534,500,470,483,456,527,344
"","Economic Action Plan area: north Wales (1)","Isle of Anglesey ",86,76,49,26,36,33,35,37,37,29,31,20
"","","Gwynedd ",198,150,148,70,72,57,47,56,68,55,60,42
"","","Conwy ",198,156,104,73,73,50,40,45,52,49,78,36
"","","Denbighshire ",123,101,105,65,57,64,50,40,44,41,43,29
"","","Flintshire ",208,190,178,147,123,113,91,94,94,96,81,77
"","","Wrexham ",319,283,309,301,228,217,237,198,188,186,234,140
"","Economic Action Plan area: mid and south west Wales (1)","",1741,1810,1384,937,1026,1040,961,951,1063,997,1030,1005
"","Economic Action Plan area: mid and south west Wales (1)","Powys ",62,40,65,45,53,28,36,34,55,33,37,36
"","","Ceredigion ",17,24,21,12,25,13,10,16,13,25,26,19
"","","Pembrokeshire ",116,123,107,66,56,78,40,61,57,43,52,80
"","","Carmarthenshire ",191,172,174,114,117,136,119,119,138,120,142,149
"","","Swansea ",872,879,663,454,535,537,471,467,524,523,549,503
"","","Neath Port Talbot ",483,572,354,246,240,248,285,254,276,253,224,218
"","Economic Action Plan area: south east Wales (1)","",5376,5457,4352,3010,2956,2891,3062,3195,3192,3208,2812,2894
"","Economic Action Plan area: south east Wales (1)","Bridgend ",370,365,280,228,198,195,226,181,214,239,237,252
"","","Vale of Glamorgan ",213,238,181,135,126,109,97,139,138,130,118,166
"","","Cardiff ",1040,1031,820,501,565,508,498,532,614,567,534,536
"","","Rhondda Cynon Taf ",851,897,741,490,483,469,456,435,475,579,419,443
"","","Merthyr Tydfil ",379,405,346,227,187,226,235,171,143,150,137,144
"","","Caerphilly ",795,859,615,418,438,362,423,501,472,499,406,399
"","","Blaenau Gwent ",439,400,331,254,236,329,302,325,303,268,230,266
"","","Torfaen ",337,355,229,241,238,179,227,197,164,180,163,152
"","","Monmouthshire ",158,113,96,62,73,65,61,49,40,64,48,54
"","","Newport ",794,794,713,454,412,449,537,665,629,532,520,482


