Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
RVSN USSR,12/09/2020,03:19:00,Rocket 3,Rocket 3.1,Active,2.5,Failure,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
RVSN USSR,15/12/2020,20:55:00,Rocket 3,Rocket 3.2,Active,2.5,Failure,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
US Navy,28/08/2021,22:35:00,Rocket 3,STP-27AD1,Active,2.5,Failure,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
AMBA,20/11/2021,06:16:00,Rocket 3,STP-27AD2,Active,2.5,Success,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
US Navy,15/03/2022,04:22:00,Rocket 3,Spaceflight Astra-1,Active,2.5,Success,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
AMBA,29/11/1967,,Redstone Sparta,WRESAT,Retired,,Success,LA-5B, RAAF Woomera Range Complex,, Australia
US Navy,29/11/1968,09:47:00,Europa 1,STV-1,Retired,,Success,LA-5B, RAAF Woomera Range Complex,, Australia
AMBA,03/07/1969,08:06:00,Europa 1,STV-2,Retired,,Failure,LA-5B, RAAF Woomera Range Complex,, Australia
RVSN USSR,12/06/1970,06:06:00,Europa 1,STV-3,Retired,,Failure,LA-5B, RAAF Woomera Range Complex,, Australia
US Navy,02/11/1970,00:34:00,Black Arrow,Orba,Retired,,Failure,LA-5B, RAAF Woomera Range Complex,, Australia
RVSN USSR,28/10/1971,04:09:00,Black Arrow,Prospero,Retired,,Success,LA-5B, RAAF Woomera Range Complex,, Australia
US Navy,02/11/1997,,VLS-1,SCD-2A,Retired,,Failure,VLS Pad, Alc�ntara Launch Center, Maranh�o, Brazil
US Navy,11/12/1999,19:40:00,VLS-1,SACI-2,Retired,,Failure,VLS Pad, Alc�ntara Launch Center, Maranh�o, Brazil
US Navy,25/08/2003,,VLS-1,"SATEC, UNOSAT",Retired,,Prelaunch Failure,VLS Pad, Alc�ntara Launch Center, Maranh�o, Brazil
AMBA,16/11/1969,,Long March 1,Test flight,Retired,,Failure,Site 5020 (LA-2A), Jiuquan Satellite Launch Center,, China
US Navy,24/04/1970,13:35:00,Long March 1,Dong Fang Hong 1,Retired,,Success,Site 5020 (LA-2A), Jiuquan Satellite Launch Center,, China
US Air Force,03/03/1971,12:15:00,Long March 1,Shijian 1,Retired,,Success,Site 5020 (LA-2A), Jiuquan Satellite Launch Center,, China
US Navy,10/08/1972,00:32:00,Feng Bao 1,Shiyan Peizhong,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
AMBA,18/09/1973,12:12:00,Feng Bao 1,JSSW-1,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,12/07/1974,13:55:00,Feng Bao 1,JSSW-2,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,05/11/1974,09:40:00,Long March 2,FSW-0 No.0,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,26/07/1975,13:30:00,Feng Bao 1,JSSW-3,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
RVSN USSR,16/11/1975,03:29:00,Long March 2,FSW-0 No.1,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,16/12/1975,09:21:00,Feng Bao 1,JSSW-4,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
NASA,30/08/1976,11:45:00,Feng Bao 1,JSSW-5,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
RVSN USSR,10/11/1976,09:05:00,Feng Bao 1,JSSW-6,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
AMBA,07/12/1976,04:38:00,Long March 2,FSW-0 No.2,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
NASA,14/09/1977,00:15:00,Feng Bao 1,DDDS 1,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
RVSN USSR,26/01/1978,04:58:00,Long March 2,FSW-0 No.3,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
AMBA,15/04/1978,16:39:00,Feng Bao 1,DDDS 2,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
