,name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
0,aardonyx,herbivorous,South Africa,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,celestae,Early Jurassic,199,189,8.0
1,abelisaurus,carnivorous,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,comahuensis,Late Cretaceous,74,70,9.0
2,achelousaurus,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,horneri,Late Cretaceous,83,70,6.0
3,achillobator,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,giganteus,Late Cretaceous,99,84,5.0
4,acrocanthosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,atokensis,Early Cretaceous,115,105,12.0
5,aegyptosaurus,herbivorous,Egypt,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,baharijensis,Late Cretaceous,98,93,15.0
6,afrovenator,carnivorous,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,abakensis,Early Cretaceous,132,121,9.0
7,agilisaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,louderbacki,Late Jurassic,169,159,1.5
8,alamosaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,sanjuanensis,Late Cretaceous,70,65,21.0
9,albertaceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia,nesmoi,Late Cretaceous,80,75,7.0
10,albertosaurus,carnivorous,Canada,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,libratus,Late Cretaceous,76,74,9.0
11,alectrosaurus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,olseni,Late Cretaceous,90,70,5.0
12,alioramus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,remotus,Late Cretaceous,71,65,6.0
13,allosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,fragilis,Late Jurassic,156,144,12.0
