,name,diet,lived_in,type,period_name
0,aardonyx,herbivorous,South Africa,sauropod,Early Jurassic
1,abelisaurus,carnivorous,Argentina,large theropod,Late Cretaceous
2,achelousaurus,herbivorous,USA,ceratopsian,Late Cretaceous
3,achillobator,carnivorous,Mongolia,large theropod,Late Cretaceous
4,acrocanthosaurus,carnivorous,USA,large theropod,Early Cretaceous
5,aegyptosaurus,herbivorous,Egypt,sauropod,Late Cretaceous
6,afrovenator,carnivorous,Niger,large theropod,Early Cretaceous
7,agilisaurus,herbivorous,China,euornithopod,Late Jurassic
8,alamosaurus,herbivorous,USA,sauropod,Late Cretaceous
9,albertaceratops,herbivorous,USA,ceratopsian,Late Cretaceous
10,albertosaurus,carnivorous,Canada,large theropod,Late Cretaceous
11,alectrosaurus,carnivorous,Mongolia,large theropod,Late Cretaceous
12,alioramus,carnivorous,Mongolia,large theropod,Late Cretaceous
13,allosaurus,carnivorous,USA,large theropod,Late Jurassic
14,alvarezsaurus,carnivorous,Argentina,small theropod,Late Cretaceous
15,amargasaurus,herbivorous,Argentina,sauropod,Early Cretaceous
16,ammosaurus,herbivorous,USA,sauropod,Early Jurassic
17,ampelosaurus,herbivorous,France,sauropod,Late Cretaceous
18,amygdalodon,herbivorous,Argentina,sauropod,Mid Jurassic
19,anchiceratops,herbivorous,Canada,ceratopsian,Late Cretaceous
20,anchisaurus,herbivorous,USA,sauropod,Early Jurassic
21,ankylosaurus,herbivorous,USA,armoured dinosaur,Late Cretaceous
22,anserimimus,carnivorous,Mongolia,large theropod,Late Cretaceous
23,antarctosaurus,herbivorous,Uruguay,sauropod,Late Cretaceous
24,apatosaurus,herbivorous,USA,sauropod,Late Jurassic
25,aragosaurus,herbivorous,Spain,sauropod,Early Cretaceous
26,aralosaurus,herbivorous,Kazakhstan,euornithopod,Late Cretaceous
27,archaeoceratops,herbivorous,China,ceratopsian,Early Cretaceous
28,archaeopteryx,carnivorous,Germany,small theropod,Late Jurassic
29,archaeornithomimus,carnivorous,Uzbekistan,small theropod,Late Cretaceous
30,argentinosaurus,herbivorous,Argentina,sauropod,Late Cretaceous
31,arrhinoceratops,herbivorous,Canada,ceratopsian,Late Cretaceous
32,atlascopcosaurus,herbivorous,Australia,euornithopod,Early Cretaceous
33,aucasaurus,carnivorous,Argentina,large theropod,Late Cretaceous
34,austrosaurus,herbivorous,Australia,sauropod,Early Cretaceous
35,avaceratops,herbivorous,USA,ceratopsian,Late Cretaceous
36,avimimus,omnivorous,Mongolia,small theropod,Late Cretaceous
37,bactrosaurus,herbivorous,China,euornithopod,Late Cretaceous
38,bagaceratops,herbivorous,Mongolia,ceratopsian,Late Cretaceous
39,bambiraptor,carnivorous,USA,small theropod,Late Cretaceous
40,barapasaurus,herbivorous,India,sauropod,Early Jurassic
41,barosaurus,herbivorous,USA,sauropod,Late Jurassic
42,baryonyx,carnivorous,United Kingdom,large theropod,Early Cretaceous
43,becklespinax,carnivorous,United Kingdom,large theropod,Early Cretaceous
44,beipiaosaurus,omnivorous,China,small theropod,Early Cretaceous
45,bellusaurus,herbivorous,China,sauropod,Mid Jurassic
46,borogovia,carnivorous,Mongolia,small theropod,Late Cretaceous
47,brachiosaurus,herbivorous,USA,sauropod,Late Jurassic
48,brachylophosaurus,herbivorous,USA,euornithopod,Late Cretaceous
49,brachytrachelopan,herbivorous,Argentina,sauropod,Mid Jurassic
50,buitreraptor,carnivorous,Argentina,small theropod,Late Cretaceous
51,camarasaurus,herbivorous,USA,sauropod,Late Jurassic
52,camptosaurus,herbivorous,USA,euornithopod,Late Jurassic
53,carcharodontosaurus,carnivorous,North Africa,large theropod,Late Cretaceous
54,carnotaurus,carnivorous,Argentina,large theropod,Late Cretaceous
55,caudipteryx,omnivorous,China,small theropod,Early Cretaceous
56,cedarpelta,herbivorous,USA,armoured dinosaur,Early Cretaceous
57,centrosaurus,herbivorous,Canada,ceratopsian,Late Cretaceous
58,ceratosaurus,carnivorous,USA,large theropod,Late Jurassic
59,cetiosauriscus,herbivorous,United Kingdom,sauropod,Mid Jurassic
60,cetiosaurus,herbivorous,United Kingdom,sauropod,Mid Jurassic
61,chaoyangsaurus,herbivorous,China,ceratopsian,Late Jurassic
62,chasmosaurus,herbivorous,Canada,ceratopsian,Late Cretaceous
63,chindesaurus,carnivorous,USA,small theropod,Late Triassic
64,chinshakiangosaurus,herbivorous,China,sauropod,Late Jurassic
65,chirostenotes,omnivorous,Canada,small theropod,Late Jurassic
66,chubutisaurus,herbivorous,Argentina,sauropod,Early Cretaceous
67,chungkingosaurus,herbivorous,China,armoured dinosaur,Late Jurassic
68,citipati,omnivorous,Mongolia,small theropod,Late Cretaceous
69,coelophysis,carnivorous,Zimbabwe,small theropod,Late Triassic
70,coelurus,carnivorous,USA,small theropod,Late Jurassic
71,coloradisaurus,omnivorous,Argentina,sauropod,Late Triassic
72,compsognathus,carnivorous,Germany,small theropod,Late Jurassic
73,conchoraptor,carnivorous,Mongolia,small theropod,Late Cretaceous
74,confuciusornis,carnivorous,China,small theropod,Early Cretaceous
75,corythosaurus,herbivorous,USA,euornithopod,Late Cretaceous
76,cryolophosaurus,carnivorous,Antarctica,large theropod,Early Jurassic
77,dacentrurus,herbivorous,United Kingdom,armoured dinosaur,Late Jurassic
78,daspletosaurus,carnivorous,Canada,large theropod,Late Cretaceous
79,datousaurus,herbivorous,China,sauropod,Mid Jurassic
80,deinocheirus,omnivorous,Mongolia,large theropod,Late Cretaceous
81,deinonychus,carnivorous,USA,small theropod,Early Cretaceous
82,deltadromeus,carnivorous,Morocco,large theropod,Late Cretaceous
83,dicraeosaurus,herbivorous,Tanzania,sauropod,Late Jurassic
84,dilophosaurus,carnivorous,USA,large theropod,Early Jurassic
85,diplodocus,herbivorous,USA,sauropod,Late Jurassic
86,dromaeosaurus,carnivorous,USA,small theropod,Late Cretaceous
87,dromiceiomimus,omnivorous,Canada,large theropod,Late Cretaceous
88,dryosaurus,herbivorous,USA,euornithopod,Late Jurassic
89,dryptosaurus,carnivorous,USA,large theropod,Late Cretaceous
90,dubreuillosaurus,carnivorous,France,large theropod,Late Jurassic
91,edmontonia,herbivorous,Canada,armoured dinosaur,Late Cretaceous
92,edmontosaurus,herbivorous,Canada,euornithopod,Late Cretaceous
93,einiosaurus,herbivorous,USA,ceratopsian,Late Cretaceous
94,elaphrosaurus,carnivorous,Tanzania,large theropod,Late Jurassic
95,emausaurus,herbivorous,Germany,armoured dinosaur,Mid Jurassic
96,eolambia,herbivorous,USA,euornithopod,Late Cretaceous
97,eoraptor,carnivorous,Argentina,small theropod,Late Triassic
98,eotyrannus,carnivorous,United Kingdom,large theropod,Early Cretaceous
99,equijubus,herbivorous,China,euornithopod,Early Cretaceous
100,erketu,herbivorous,Mongolia,sauropod,Early Cretaceous
101,erlikosaurus,omnivorous,Mongolia,small theropod,Late Cretaceous
102,euhelopus,herbivorous,China,sauropod,Late Jurassic
103,euoplocephalus,herbivorous,USA,armoured dinosaur,Late Cretaceous
104,europasaurus,herbivorous,Germany,sauropod,Late Jurassic
105,eustreptospondylus,carnivorous,United Kingdom,large theropod,Mid Jurassic
106,fukuiraptor,carnivorous,Japan,large theropod,Early Cretaceous
107,fukuisaurus,herbivorous,Japan,euornithopod,Early Cretaceous
108,gallimimus,omnivorous,Mongolia,large theropod,Late Cretaceous
109,gargoyleosaurus,herbivorous,USA,armoured dinosaur,Late Jurassic
110,garudimimus,omnivorous,Mongolia,large theropod,Late Cretaceous
111,gasosaurus,carnivorous,China,small theropod,Mid Jurassic
112,gasparinisaura,herbivorous,Argentina,euornithopod,Late Cretaceous
113,gastonia,herbivorous,USA,armoured dinosaur,Early Cretaceous
114,giganotosaurus,carnivorous,Argentina,large theropod,Early Cretaceous
115,gilmoreosaurus,herbivorous,China,euornithopod,Late Cretaceous
116,giraffatitan,herbivorous,Tanzania,sauropod,Late Jurassic
117,gobisaurus,herbivorous,China,armoured dinosaur,Early Cretaceous
118,gorgosaurus,carnivorous,USA,large theropod,Late Cretaceous
119,goyocephale,herbivorous,Mongolia,large theropod,Late Cretaceous
120,graciliceratops,herbivorous,Mongolia,ceratopsian,Late Cretaceous
121,gryposaurus,herbivorous,USA,euornithopod,Late Cretaceous
122,guaibasaurus,herbivorous,Brazil,small theropod,Late Triassic
123,guanlong,carnivorous,China,small theropod,Late Jurassic
124,hadrosaurus,herbivorous,USA,euornithopod,Late Cretaceous
125,hagryphus,omnivorous,USA,small theropod,unknown
126,haplocanthosaurus,herbivorous,USA,sauropod,Late Jurassic
127,harpymimus,omnivorous,Mongolia,small theropod,Early Cretaceous
128,herrerasaurus,carnivorous,Argentina,small theropod,Late Triassic
129,hesperosaurus,herbivorous,USA,armoured dinosaur,Late Jurassic
