Name,Site type,Community,Location
Y Domen Fawr round cairn,Round cairn,Ebbw Vale,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°45′25″N 3°12′34″W﻿ / ﻿51.757°N 3.2095°W, SO166170"
Afon Sirhowy Hut Circle,Hut circle settlement,Tredegar,"51°47′56″N 3°16′44″W / ﻿51.799°N 3.2788°W, SO119119"
Twyn Bryn March round cairn,Round cairn,Tredegar,"51°48′10″N 3°15′09″W﻿ / ﻿51.8028°N 3.2524°W, SO137123"
Cefn Manmoel cross-ridge dyke,Cross Ridge Dyke,Cwm,"51°44′39″N 3°12′06″W﻿ / ﻿51.7442°N 3.2018°W, SO171057"
St Illtyd's Motte,Motte,Llanhilleth,"51°42′38″N 3°08′03″W﻿ / ﻿51.7105°N 3.1343°W, SO217019"
Sirhowy Ironworks,Industrial monument,Tredegar,"51°46′59″N 3°14′37″W﻿ / ﻿51.783°N 3.2436°W, SO143101"
Trefil Quarries North,Quarry,Tredegar,"51°49′04″N 3°16′54″W﻿ / ﻿51.8179°N 3.2818°W, SO117140"
Clydach Coal Level,Tramroad,Brynmawr,"51°48′09″N 3°09′40″W﻿ / ﻿51.8024°N 3.161°W, SO200121"
Cefn Golau,Cholera cemetery,Tredegar,"51°45′37″N 3°14′57″W﻿ / ﻿51.7603°N 3.2491°W, SO138075"
Clydach Rail Road,Tramroad,Brynmawr,"51°48′12″N 3°09′30″W﻿ / ﻿51.8033°N 3.1584°W, SO202122"
Marine Colliery Pumping Engine,Industrial monument,Cwm,"51°43′53″N 3°10′33″W﻿ / ﻿51.7315°N 3.1759°W, SO188042"
Mynydd Bedwellty Winding Engine,Industrial monument,Tredegar,"51°44′41″N 3°13′40″W﻿ / ﻿51.7448°N 3.2278°W, SO153058"
Trefil Tramroad,Tramroad,Tredegar,"51°48′16″N 3°15′26″W﻿ / ﻿51.8044°N 3.2573°W, SO134125"
Coity Burial Chamber,Chambered tomb,Coity Higher,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°31′34″N 3°32′54″W﻿ / ﻿51.5262°N 3.5482°W, SS926819"
Tythegston Long Barrow,Long barrow,Merthyr Mawr,"51°30′03″N 3°38′14″W﻿ / ﻿51.5008°N 3.6371°W, SS864792"
Ogof y Pebyll Bone Cave,Cave,Pencoed,"51°30′57″N 3°30′47″W﻿ / ﻿51.5159°N 3.5131°W, SS951807"
Bryn Defaid Mound,Round cairn,Garw Valley,"51°36′45″N 3°36′26″W﻿ / ﻿51.6126°N 3.6071°W, SS888916"
Round Barrow on the Werfa,Round barrow,Ogmore Valley,"51°38′09″N 3°34′16″W﻿ / ﻿51.6359°N 3.5711°W, SS913941"
Bridgend Standing Stone,Standing stone,Bridgend,"51°30′14″N 3°35′00″W﻿ / ﻿51.5039°N 3.5832°W, SS902795"
Cefn Cross Standing Stone,Standing stone,Cefn Cribwr,"51°31′53″N 3°37′29″W﻿ / ﻿51.5314°N 3.6248°W, SS873826"
Garn Lwyd Cairn,Round cairn,Garw Valley,"51°35′59″N 3°33′39″W﻿ / ﻿51.5997°N 3.5609°W, SS919901"
Groes y Bwlchgwyn Round Cairn,Round cairn,Garw Valley,"51°36′18″N 3°36′20″W﻿ / ﻿51.605°N 3.6055°W, SS889907"
Carn y Hyrddod,Round cairn,Ogmore Valley,"51°37′44″N 3°33′42″W﻿ / ﻿51.629°N 3.5618°W, SS919934"
Mynydd Caerau Round Cairns,Round cairn,Maesteg,"51°38′14″N 3°36′21″W﻿ / ﻿51.6373°N 3.6058°W, SS889943"
Mynydd Herbert Round Barrow,Round barrow,Merthyr Mawr,"51°30′21″N 3°39′23″W﻿ / ﻿51.5057°N 3.6564°W, SS851798"
Hutchwns round barrow,Round barrow,Porthcawl,"51°29′06″N 3°42′35″W﻿ / ﻿51.4849°N 3.7098°W, SS813776"
Pant-y-Pyllau Enclosure,Earthwork (unclassified),Coity Higher,"51°31′50″N 3°32′52″W﻿ / ﻿51.5306°N 3.5478°W, SS927824"
Mynydd y Gaer,Hillfort,Coychurch Higher,"51°33′16″N 3°28′55″W﻿ / ﻿51.5544°N 3.482°W, SS973849"
"Ty'n y Warn Camp, Cwm Llwyd",Hillfort,Coychurch Higher,"51°33′23″N 3°31′04″W﻿ / ﻿51.5565°N 3.5178°W, SS948852"
