Wind farm,Coordinates,Power perturbine(MW),No.,Cap. (MW),Online
Red Tile,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}52°27′02″N 00°00′27″W﻿ / ﻿52.45056°N 0.00750°W",2.0,12,24.0,2007
Frodsham,53°17′46″N 02°45′28″W﻿ / ﻿53.29611°N 2.75778°W,2.65,19,50.35,2017
Bears Down,50°28′23″N 04°57′11″W﻿ / ﻿50.47306°N 4.95306°W,0.6,16,9.6,2001
Cold Northcott,50°38′14″N 04°31′07″W﻿ / ﻿50.63722°N 4.51861°W,0.3,22,6.8,1993
Four Burrows,50°17′30″N 05°08′44″W﻿ / ﻿50.29167°N 5.14556°W,0.3,15,4.5,1998
West Durham,54°46′05″N 01°49′18″W﻿ / ﻿54.76806°N 1.82167°W,2.0,12,24.0,2009
Kirkby Moor,54°14′46″N 03°09′08″W﻿ / ﻿54.24611°N 3.15222°W,0.4,12,4.8,1993
Goole Fields 1,53°40′58″N 00°47′41″W﻿ / ﻿53.68278°N 0.79472°W,2.05,16,32.8,2014
Goole Fields 2,53°40′58″N 00°47′41″W﻿ / ﻿53.68278°N 0.79472°W,2.05,17,34.85,2017
Hall Farm,53°52′1.8″N 00°22′15.8″W﻿ / ﻿53.867167°N 0.371056°W,2.05,12,24.6,2013
Lissett Airfield,54°00′35″N 00°15′15″W﻿ / ﻿54.00972°N 0.25417°W,2.5,12,30.0,2009
Little Cheyne Court,50°57′45″N 00°49′13″E﻿ / ﻿50.96250°N 0.82028°E,2.3,26,59.8,2009
Coal Clough,53°44′55″N 02°10′03″W﻿ / ﻿53.74861°N 2.16750°W,0.4,24,9.6,1992
Scout Moor,53°40′01″N 02°16′26″W﻿ / ﻿53.66694°N 2.27389°W,2.5,26,65.0,2008
Hyndburn,53°42′52″N 02°23′10″W﻿ / ﻿53.71444°N 2.38611°W,2.05,12,24.6,2012
Bicker Fen,52°55′34″N 00°12′59″W﻿ / ﻿52.92611°N 0.21639°W,2.0,13,26.0,2008
Conisholme Fen Resubmission,53°25′32″N 00°04′48″W﻿ / ﻿53.42556°N 0.08000°W,0.8,20,16.0,2008
Rusholme,53°43′32″N 00°55′15″W﻿ / ﻿53.72556°N 0.92083°W,2.0,12,24.0,2010
Green Rigg,55°05′56″N 02°11′55″W﻿ / ﻿55.09889°N 2.19861°W,2.0,18,36.0,2012
Royd Moor,53°31′55″N 01°40′10″W﻿ / ﻿53.53194°N 1.66944°W,0.5,13,6.5,1993
