Location,Cap. (MW),No.,Model,Projectcommissioning,Strike Price,Buildcost,Cap.fac.,Depthrange (m),km toshore,Coordinates1,Coordinates2,coordinates1Northing,coordinates1Westing,lat,long
53°59′00″N 3°17′00″W﻿ / ﻿53.98333°N 3.28333°W,90,30,Vestas V90-3.0MW,Jul-06,,£123m,35.9%[4],15–20,7.0,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}53°59′00″N 3°17′00″W﻿ ", ﻿53.98333°N 3.28333°W,53°59′00″,3°17′00″W﻿ ,53.983333333333334,-3.283333333333333
58°06′20″N 03°05′35″W﻿ / ﻿58.10556°N 3.09306°W,10,2,REpower 5M,Jul-07,,£35m,20%,45,23.0,58°06′20″N 03°05′35″W﻿ , ﻿58.10556°N 3.09306°W,58°06′20″,03°05′35″W﻿ ,58.105555555555554,-3.093055555555556
58°06′20″N 03°05′35″W﻿ / ﻿58.10556°N 3.09306°W,588,84,Siemens Gamesa 7MW,Jul-19,140.0,"£2,600m",,45,23.0,58°06′20″N 03°05′35″W﻿ , ﻿58.10556°N 3.09306°W,58°06′20″,03°05′35″W﻿ ,58.105555555555554,-3.093055555555556
53°29′00″N 3°11′00″W﻿ / ﻿53.48333°N 3.18333°W,90,25,Siemens SWP 3.6–107,Sep-07,,£90m,32–35%,0–6,7.0,53°29′00″N 3°11′00″W﻿ , ﻿53.48333°N 3.18333°W,53°29′00″,3°11′00″W﻿ ,53.483333333333334,-3.183333333333333
53°29′00″N 3°11′00″W﻿ / ﻿53.48333°N 3.18333°W,258,32,Vestas V164 8.0 MW,Apr-17,,,,6–13,,53°29′00″N 3°11′00″W﻿ , ﻿53.48333°N 3.18333°W,53°29′00″,3°11′00″W﻿ ,53.483333333333334,-3.183333333333333
53°15′00″N 1°23′00″E﻿ / ﻿53.25000°N 1.38333°E,402,67,Siemens SWT-6.0–154,Oct-17,,"£1,500m",48%,,,53°15′00″N 1°23′00″E﻿ , ﻿53.25000°N 1.38333°E,53°15′00″,1°23′00″E﻿ ,53.25,1.3833333333333333
52°14′04″N 02°29′18″E﻿ / ﻿52.23444°N 2.48833°E,714,102,Siemens SWT-7.0-154,2020,119.89,,,,43.0,52°14′04″N 02°29′18″E﻿ , ﻿52.23444°N 2.48833°E,52°14′04″,02°29′18″E﻿ ,52.23444444444444,2.4883333333333333
57°13′0″N 1°59′0″W﻿ / ﻿57.21667°N 1.98333°W,93,11,Vestas V164-8MW,Sep-18,,,,32,3.0,57°13′0″N 1°59′0″W﻿ , ﻿57.21667°N 1.98333°W,57°13′0″,1°59′0″W﻿ ,57.21666666666667,-1.9833333333333334
51°56′0″N 1°53′0″E﻿ / ﻿51.93333°N 1.88333°E,504,140,Siemens SWT-3.6–107,Sep-12,,"£1,500m",42.2%[4],20–32,23.0,51°56′0″N 1°53′0″E﻿ , ﻿51.93333°N 1.88333°E,51°56′0″,1°53′0″E﻿ ,51.93333333333333,1.8833333333333333
51°43′0″N 01°12′50″E﻿ / ﻿51.71667°N 1.21389°E,172,48,Siemens SWP-3.6–107,Apr-10,,£300m,36.60%,2–15,7.0,51°43′0″N 01°12′50″E﻿ , ﻿51.71667°N 1.21389°E,51°43′0″,01°12′50″E﻿ ,51.71666666666667,1.2138888888888888
